Sample ID,Cohort,Cage,Ear,Diet,%P/%C/%F,%Glucose/%Fructose,in.P,in.F,in.C,in.Glu,in.Fru,in.Glustar,food.intake ,eaten.P,eaten.F,eaten.C,eaten.Glu,eaten.Fru,eaten.Glustar ,energy.eaten,,food.eaten ,energy.in,Water.Wk.12,,Water.Wk.12,Weight.Wk.12,Fat.Mass.Wk.12,Lean.Mass.Wk.12,Water.Mass.Wk.12,Fat.Percentage.Wk.12,Lean.Percentage.Wk.12,Water.Percentage.Wk.12,Fasting.blood.glucose,GTT.total.AUC,GTT.incremental.AUC,Fasting.Blood.Insulin,Fed.Blood.Insulin,HOMA.IR,ITT.total.AUC.45,ITT.total.AUC
3.3,1,3,3,G-1/S-3,10/70/20,50/50,1.43,2.86,9.96,3.5,3.5,6.45,3.65,5.22,10.45,36.34,12.79,12.79,23.55,52,,,,,,3.56,34.9,5.42,28.23,24.1,15.53008596,80.88825215,69.05444126,10,1128,228,0.915436795,1.536896647,9.15436795,420,826.5
3.4,1,3,4,G-1/S-3,10/70/20,50/50,1.43,2.86,9.96,3.5,3.5,6.45,3.65,5.22,10.45,36.34,12.79,12.79,23.55,52,,,,,,3.56,40.4,13.77,25.13,21.47,34.08415842,62.2029703,53.14356436,12.2,1313.25,215.25,1.51017156,3.848025736,18.42409303,546.8,1101
4.1,1,4,1,G-1/S-4,10/70/20,25/75,1.43,2.86,9.96,1.75,5.25,4.7,3.51,5.02,10.05,34.96,6.15,18.45,16.51,50.03,,3.51,50.03,4.28,,4.28,32.7,6.44,24.31,21.31,19.6941896,74.34250765,65.16819572,9.5,1623,768,0.73992822,2.85081768,7.02931809,447,831
4.2,1,4,2,G-1/S-4,10/70/20,25/75,1.43,2.86,9.96,1.75,5.25,4.7,3.51,5.02,10.05,34.96,6.15,18.45,16.51,50.03,,,,,,4.28,32.1,6.57,24.38,20.86,20.46728972,75.95015576,64.98442368,9.2,933,105,1.626246554,2.071400051,14.96146829,325.5,575.3
4.3,1,4,3,G-1/S-4,10/70/20,25/75,1.43,2.86,9.96,1.75,5.25,4.7,3.51,5.02,10.05,34.96,6.15,18.45,16.51,50.03,,,,,,4.28,39.4,11.51,26.44,22.73,29.21319797,67.10659898,57.69035533,9.7,984.75,111.75,1.388911058,3.966493712,13.47243726,423.8,853.5
4.4,1,4,4,G-1/S-4,10/70/20,25/75,1.43,2.86,9.96,1.75,5.25,4.7,3.51,5.02,10.05,34.96,6.15,18.45,16.51,50.03,,,,,,4.28,34.4,7.16,25.98,21.84,20.81395349,75.52325581,63.48837209,10.5,1283.25,338.25,1.000000023,2.108895105,10.50000024,388.5,703.5
5.1,1,5,1,G-1/S-5,10/70/20,0/100,1.43,2.87,9.95,0,7.01,2.95,2.93,4.19,8.4,29.18,0,20.54,8.64,41.77,,2.93,41.77,7.21,,7.21,30.7,5.64,23.81,20.55,18.3713355,77.55700326,66.93811075,10.4,1432.5,496.5,1.51376151,1.913841223,15.7431197,600,1203.8
5.2,1,5,2,G-1/S-5,10/70/20,0/100,1.43,2.87,9.95,0,7.01,2.95,2.93,4.19,8.4,29.18,0,20.54,8.64,41.77,,,,,,7.21,33,8.2,23.62,20.02,24.84848485,71.57575758,60.66666667,9.9,1215.75,324.75,1.494615033,1.686477915,14.79668883,527.3,993.8
5.3,1,5,3,G-1/S-5,10/70/20,0/100,1.43,2.87,9.95,0,7.01,2.95,2.93,4.19,8.4,29.18,0,20.54,8.64,41.77,,,,,,7.21,30.1,4.17,24.35,20.87,13.8538206,80.89700997,69.33554817,9.7,1162.5,289.5,0.791384123,1.836058945,7.676425992,363.8,692.3
5.4,1,5,4,G-1/S-5,10/70/20,0/100,1.43,2.87,9.95,0,7.01,2.95,2.93,4.19,8.4,29.18,0,20.54,8.64,41.77,,,,,,7.21,28.6,2.64,24.64,21.32,9.230769231,86.15384615,74.54545455,8,992.25,272.25,0.9525329,1.507778221,7.6202632,305.3,573
6.1,1,6,1,G-2/S-1,20/60/20,100/0,2.86,2.86,8.53,6.01,0,8.53,3,8.59,8.6,25.62,18.04,0,25.62,42.81,,3,42.81,4.06,,4.06,38.3,9.65,26.94,22.86,25.19582245,70.33942559,59.68668407,12.6,1298.25,164.25,1.301095426,1.705790256,16.393797,390,799.5
6.2,1,6,2,G-2/S-1,20/60/20,100/0,2.86,2.86,8.53,6.01,0,8.53,3,8.59,8.6,25.62,18.04,0,25.62,42.81,,,,,,4.06,33.1,4.17,27.61,23.47,12.59818731,83.41389728,70.90634441,10.9,1090.5,109.5,0.56838812,0.648513273,6.1954292,374.3,705.8
6.3,1,6,3,G-2/S-1,20/60/20,100/0,2.86,2.86,8.53,6.01,0,8.53,3,8.59,8.6,25.62,18.04,0,25.62,42.81,,,,,,4.06,37.3,11.31,24.52,21.15,30.32171582,65.73726542,56.70241287,11.2,1071.75,63.75,1.798748131,1.863536794,20.1459776,480.8,969
6.4,1,6,4,G-2/S-1,20/60/20,100/0,2.86,2.86,8.53,6.01,0,8.53,3,8.59,8.6,25.62,18.04,0,25.62,42.81,,,,,,4.06,31.9,3.83,26.24,22.31,12.00626959,82.25705329,69.93730408,8.7,1175.25,392.25,0.623474192,0.593114254,5.4242238,339,575.3
7.1,1,7,1,G-2/S-2,20/60/20,75/25,2.86,2.86,8.53,4.5,1.5,7.02,3.12,8.92,8.93,26.6,14.05,4.68,21.91,44.45,,3.12,44.45,3.78,,3.78,36.8,8.14,27.31,23.08,22.11956522,74.21195652,62.7173913,12.6,1040.25,-93.75,1.629733983,3.360876362,20.5346484,456,885
7.2,1,7,2,G-2/S-2,20/60/20,75/25,2.86,2.86,8.53,4.5,1.5,7.02,3.12,8.92,8.93,26.6,14.05,4.68,21.91,44.45,,,,,,3.78,34.6,9.22,24.2,20.6,26.64739884,69.94219653,59.53757225,12.2,2316,1218,1.080125151,1.11079813,13.177525,451.5,885.8
7.3,1,7,3,G-2/S-2,20/60/20,75/25,2.86,2.86,8.53,4.5,1.5,7.02,3.12,8.92,8.93,26.6,14.05,4.68,21.91,44.45,,,,,,3.78,38.8,11.6,25.87,22.27,29.89690722,66.67525773,57.39690722,12.3,1443.75,336.75,1.97558681,2.066353584,24.2997201,459.8,897.8
